"state","age_group","race","death_2019","population_2019","covid_deaths","total_deaths_pandemic","annual_death_pandemic","prop_higher_education","fips","mean_household_income","private_insurance","public_insurance","no_insurance","mortrate_2019","mortrate_covid","mortrate_change","income","education","income_decile","education_decile"
"CT","45-54 years","White",1243,385227,213,3944,1075.6,40.6,9,120670,70.5,36.2,5.2,322.666895103407,279.21199708224,-43.4548980211667,120670,40.6,10,9
"CT","55-64 years","Black or African American",487,49468,279,2233,609,40.6,9,120670,70.5,36.2,5.2,984.474811999677,1231.09889221315,246.624080213471,120670,40.6,10,9
"CT","55-64 years","White",3033,439912,727,10734,2927.5,40.6,9,120670,70.5,36.2,5.2,689.456073032788,665.474003891687,-23.982069141101,120670,40.6,10,9
"CT","65-74 years","Black or African American",546,27577,334,2470,673.6,40.6,9,120670,70.5,36.2,5.2,1979.91079522791,2442.61522283062,462.704427602712,120670,40.6,10,9
"CT","65-74 years","White",4552,310957,1509,17679,4821.5,40.6,9,120670,70.5,36.2,5.2,1463.86799461019,1550.53592618915,86.6679315789643,120670,40.6,10,9
"CT","75-84 years","Black or African American",595,13537,379,2634,718.4,40.6,9,120670,70.5,36.2,5.2,4395.36086282042,5306.93654428603,911.575681465612,120670,40.6,10,9
"CT","75-84 years","White",6504,166197,2489,26317,7177.4,40.6,9,120670,70.5,36.2,5.2,3913.42804021733,4318.60984253627,405.181802318935,120670,40.6,10,9
"CT","85+ years","Black or African American",509,4824,339,2310,630,40.6,9,120670,70.5,36.2,5.2,10551.4096185738,13059.7014925373,2508.29187396351,120670,40.6,10,9
"CT","85+ years","White",11804,84346,4444,43336,11818.9,40.6,9,120670,70.5,36.2,5.2,13994.7359685107,14012.4012994096,17.6653308989153,120670,40.6,10,9
"DE","< 1 year","Black or African American",34,2738,NA,125,34.1,33.6,10,97081,71.8,39.2,5.8,1241.7823228634,1245.434623813,3.65230094959816,97081,33.6,7,6
"DE","< 1 year","White",23,6651,0,94,25.6,33.6,10,97081,71.8,39.2,5.8,345.812659750414,384.904525635243,39.0918658848294,97081,33.6,7,6
"DE","1-4 years","White",12,27058,NA,39,10.6,33.6,10,97081,71.8,39.2,5.8,44.3491758444822,39.1751053292926,-5.1740705151896,97081,33.6,7,6
"DE","15-24 years","Black or African American",42,33618,NA,167,45.5,33.6,10,97081,71.8,39.2,5.8,124.933071568802,135.344160866203,10.4110892974002,97081,33.6,7,6
